map_idx,method,step,coverage
4727,baseline,1,0.40531932726155223
4727,baseline,2,0.6749175839526178
4727,baseline,3,0.7559926244622004
4727,baseline,4,0.7805777504609711
4727,baseline,5,0.7810247527518579
4727,baseline,6,0.9994412471363916
5224,diffusion,1,0.1719521429653188
5224,diffusion,2,0.20799636528850524
5224,diffusion,3,0.2109041344843253
5224,diffusion,4,0.21347872179312433
5224,diffusion,5,0.5459033772527639
5224,diffusion,6,0.584037558685446
5224,diffusion,7,0.5922762380736029
5224,diffusion,8,0.8049674390428593
5224,diffusion,9,0.8744207178555202
5224,diffusion,10,0.8868393154626685
5224,diffusion,11,0.9463577161896107
5224,diffusion,12,0.9478116007875208
5224,diffusion,13,0.9789792518552173
5224,baseline,1,0.1719521429653188
5224,baseline,2,0.2163259124640315
5224,baseline,3,0.4699076177495078
5224,baseline,4,0.6103892170225655
5224,baseline,5,0.7692261093442375
5224,baseline,6,0.7720127214902317
5224,baseline,7,0.8155081023777071
5224,baseline,8,0.8627593518097835
5224,baseline,9,0.9173708920187793
5224,baseline,10,0.9583219748599121
5265,diffusion,1,0.3799022964890654
5265,diffusion,2,0.5223485367301283
5265,diffusion,3,0.6484956398666849
5265,diffusion,4,0.6870291740857417
5265,diffusion,5,0.9140300415468201
5265,diffusion,6,0.9192348080171666
5265,diffusion,7,0.9650732776332009
5265,baseline,1,0.3799022964890654
5265,baseline,2,0.46628315755832533
5265,baseline,3,0.5444916221522166
5265,baseline,4,0.6316486326074053
5265,baseline,5,0.8910651508925718
5265,baseline,6,0.9659863945578231
6122,diffusion,1,0.16773397114420183
6122,diffusion,2,0.3907877478589615
6122,diffusion,3,0.6542705038191498
6122,diffusion,4,0.8212715068281768
6122,diffusion,5,0.8846153846153846
6122,diffusion,6,0.893449579507754
6122,diffusion,7,0.9086490239950621
6122,diffusion,8,0.954864593781344
6122,baseline,1,0.16773397114420183
6122,baseline,2,0.3907877478589615
6122,baseline,3,0.48399043283697246
6122,baseline,4,0.7218578813363167
6122,baseline,5,0.7891366406913047
6122,baseline,6,0.810971375665458
6122,baseline,7,0.8124373119358074
6122,baseline,8,0.9262016819689839
6122,baseline,9,0.9990355682431911
6140,diffusion,1,0.1294686487320611
6140,diffusion,2,0.19546319633763695
6140,diffusion,3,0.3441181009207345
6140,diffusion,4,0.3771925312483926
6140,diffusion,5,0.5128851396533101
6140,diffusion,6,0.5701352811069389
6140,diffusion,7,0.7059822025615966
6140,diffusion,8,0.735224525487372
6140,diffusion,9,0.7559796306774342
6140,diffusion,10,0.7688390514891209
6140,diffusion,11,0.7781749909984055
6140,diffusion,12,0.7782007098400288
6140,diffusion,13,0.7782264286816521
6140,diffusion,14,0.7782264286816521
6140,diffusion,15,0.7782264286816521
6140,diffusion,16,0.7782264286816521
6140,diffusion,17,0.7782264286816521
6140,diffusion,18,0.7782264286816521
6140,diffusion,19,0.7782264286816521
6140,diffusion,20,0.7782264286816521
6140,baseline,1,0.1294686487320611
6140,baseline,2,0.2139036057815956
6140,baseline,3,0.33822848618898205
6140,baseline,4,0.40283421634689576
6140,baseline,5,0.5580988632272003
6140,baseline,6,0.5693894346998611
6140,baseline,7,0.7274574353171133
6140,baseline,8,0.7457692505529551
6140,baseline,9,0.7599403322874337
6140,baseline,10,0.7723368139498997
6140,baseline,11,0.7730569415153542
6140,baseline,12,0.7732112545650944
6140,baseline,13,0.7732112545650944
6140,baseline,14,0.7732112545650944
6140,baseline,15,0.7732112545650944
6140,baseline,16,0.7732112545650944
6140,baseline,17,0.7732112545650944
6140,baseline,18,0.7732112545650944
6140,baseline,19,0.7732112545650944
6140,baseline,20,0.7732112545650944
6481,diffusion,1,0.1434994103773585
6481,diffusion,2,0.2591637185534591
6481,diffusion,3,0.39649665880503143
6481,diffusion,4,0.4167895047169811
6481,diffusion,5,0.4879618710691824
6481,diffusion,6,0.5617875393081762
6481,diffusion,7,0.6504029088050315
6481,diffusion,8,0.7200766509433962
6481,diffusion,9,0.7585986635220126
6481,diffusion,10,0.8766951650943396
6481,diffusion,11,0.9044319968553459
6481,diffusion,12,0.9169860455974843
6481,diffusion,13,0.9899272798742138
6481,baseline,1,0.1434994103773585
6481,baseline,2,0.2591637185534591
6481,baseline,3,0.39649665880503143
6481,baseline,4,0.45076650943396224
6481,baseline,5,0.5241990959119497
6481,baseline,6,0.5797710298742138
6481,baseline,7,0.6789013364779874
6481,baseline,8,0.7604658018867925
6481,baseline,9,0.7633647798742138
6481,baseline,10,0.7636595911949685
6481,baseline,11,0.7636841588050315
6481,baseline,12,0.8531839622641509
6481,baseline,13,0.8567954009433962
6481,baseline,14,0.9137431210691824
6481,baseline,15,0.9857016509433962
6866,diffusion,1,0.12805293005671078
6866,diffusion,2,0.2322117202268431
6866,diffusion,3,0.6104725897920605
6866,diffusion,4,0.6671833648393195
6866,diffusion,5,0.7318714555765595
6866,diffusion,6,0.8308884688090737
6866,diffusion,7,0.8975047258979206
6866,diffusion,8,0.9022306238185255
6866,diffusion,9,0.9556899810964083
6866,baseline,1,0.12805293005671078
6866,baseline,2,0.18888468809073725
6866,baseline,3,0.44325141776937615
6866,baseline,4,0.6726275992438563
6866,baseline,5,0.6760302457466919
6866,baseline,6,0.8542533081285444
6866,baseline,7,0.9396975425330812
6866,baseline,8,0.9748582230623819
6957,diffusion,1,0.24691760224538895
6957,diffusion,2,0.44120890136327184
6957,diffusion,3,0.6342221331194867
6957,diffusion,4,0.7743083400160385
6957,diffusion,5,0.8832949077786688
6957,diffusion,6,0.9612820769847634
6957,baseline,1,0.24691760224538895
6957,baseline,2,0.40549819566960704
6957,baseline,3,0.5402215316760225
6957,baseline,4,0.6820870088211708
6957,baseline,5,0.8510926222935045
6957,baseline,6,0.9166248997594226
6957,baseline,7,0.9732608259823576
6995,diffusion,1,0.16194392047983383
6995,diffusion,2,0.30424093423478793
6995,diffusion,3,0.4587881228408537
6995,diffusion,4,0.622130852213721
6995,diffusion,5,0.7495284318504546
6995,diffusion,6,0.8790242248267385
6995,diffusion,7,0.9792933895682767
6995,baseline,1,0.16194392047983383
6995,baseline,2,0.2823050675031261
6995,baseline,3,0.41461967233961383
6995,baseline,4,0.5536739927516267
6995,baseline,5,0.724922111777547
6995,baseline,6,0.8251912765190853
6995,baseline,7,0.8965729182120679
6995,baseline,8,0.9733590488099527
7955,diffusion,1,0.2109888459082886
7955,diffusion,2,0.3620760881811695
7955,diffusion,3,0.5273594471776768
7955,diffusion,4,0.8156758177789462
7955,diffusion,5,0.9404739550080745
7955,diffusion,6,0.9799451684380516
7955,baseline,1,0.2109888459082886
7955,baseline,2,0.3620760881811695
7955,baseline,3,0.5242423104367747
7955,baseline,4,0.8566868216472002
7955,baseline,5,0.8816614714387652
7955,baseline,6,0.8991625042250347
7955,baseline,7,0.9539565103090848
8080,diffusion,1,0.10695395465168724
